88632,Molester Man,2475,complete
118,Yu Yu Hakusho,2458,complete
491,Air Gear,2456,complete
59570,Tomodachi no Hanashi,2454,complete
415,B Reaction!,2453,complete
33745,Bi no Isu,2452,complete
1475,Parallel,2450,complete
10673,Otona Keikenchi,2443,complete
1155,Kindan no Koi wo Shiyou,2439,complete
410,Marmalade Boy,2438,complete
246,Chrno Crusade,2434,complete
2462,Hot-Blooded Woman,2432,complete
4543,Kiwametsuke Gakuya Ura Ouji,2425,complete
41155,Abarenbou Kareshi,2421,complete
1150,Rave,2420,complete
5741,Hotel,2419,complete
35895,Tonari no Kaibutsu-kun,2418,complete
183,Shijou Saikyou no Deshi Kenichi,2413,complete
188,NHK ni Youkoso!,2413,complete
5673,21 Seiki Shounen,2412,complete
600,Soul Eater,2403,complete
791,Nodame Cantabile,2400,complete
439,ES,2378,complete
6086,Uzumaki,2363,complete
511,Shingetsutan Tsukihime,2362,complete
6137,Hand Which,2348,complete
7530,Itoshi no Kana,2345,complete
41889,Kiraboshi Dial,2332,complete
17308,Rosario to Vampire - Season II,2331,complete
60271,Ao Haru Ride,2329,complete
13274,S no Yuiitsu M no Zettai,2328,complete
42270,Superior †,2308,complete
7423,Penguin Prince,2305,complete
4008,Hoshi no Koe,2295,complete
514,Love Celeb,2283,complete
53196,Kimi Note,2282,complete
2600,Alive: Saishuu Shinkateki Shounen,2279,complete
2833,Solanin,2277,complete
464,Mahou Tsukai Kurohime,2276,complete
36231,Half & Half (SEO Kouji),2267,complete
226,Pluto,2266,complete
13459,Bloody Monday,2265,complete
63224,Magico (IWAMOTO Naoki),2260,complete
1802,Aiki,2258,complete
2402,Genshiken - The Society for the Study of Modern Visual Culture,2258,complete
12163,Seishun Survival,2254,complete
365,Vampire Juujikai,2249,complete
8556,Koko ni Iru yo!,2236,complete
1679,Vampire Knight,2229,complete
2244,Barairo My Honey,2220,complete
41618,Tasogare Otome x Amnesia,2210,complete
1121,Deep Love - Ayu no Monogatari,2209,complete
63613,Orange Marmalade,2209,complete
45881,GE - Good Ending,2208,complete
17,Shaman King,2197,complete
11552,7 Jikanme Rhapsody,2196,complete
1955,Cut,2185,complete
27,Tennis no Ouji-sama,2179,complete
28924,Kon no Ki Konoha,2174,complete
13182,Sangen Tonari no Tooi Hito,2173,complete
34,Alice 19th,2168,complete
31255,Kawaii Akuma,2168,complete
43959,Sojou no Koi wa Nido Haneru,2167,complete
3093,Love Neko,2162,complete
1005,Bijo ga Yajuu,2159,complete
769,Stroke Material,2158,complete
45748,Blanc Marie,2152,complete
22573,Nanaco Robin,2151,complete
44980,Henkoi!,2149,complete
3261,Ga-rei,2147,complete
56523,Usotsuki Mi-kun to Kowareta Ma-chan - Totteoki no Uso,2147,complete
10351,Suki ni Naru Made Matte,2146,complete
9,Kamikaze Kaitou Jeanne,2145,complete
1295,Abiru Junjou,2144,complete
25782,Arashi no Ato,2143,complete
1557,Recca no Honoo,2140,complete
6669,Cutie Boy,2140,complete
67781,Last Game,2138,complete
6526,Venus Kisoukyoku,2132,complete
52772,Taiyou no Ie,2129,complete
47869,NightS,2128,complete
411,Imadoki!,2125,complete
660,Cross Game,2122,complete
2479,Ikoku Irokoi Romantan,2122,complete
14271,Hatsukoi Gentei,2122,complete
66014,Hirunaka no Ryuusei,2122,complete
1502,W Juliet,2117,complete
77210,"Puchitto Hajiketa,",2113,complete
41494,Kimi ga Uso o Tsuita,2112,complete
80409,Kimi wa Midara na Boku no Joou,2112,complete
2441,Houkago Hokenshitsu,2107,complete
8042,Spicy Pink,2098,complete
23448,Yume Musubi Koi Musubi,2097,complete
92376,Kami-sama ga Uso o Tsuku.,2094,complete
16721,Girl Friends,2090,complete
36395,Katekyo!,2082,complete
449,Haou Airen,2075,complete
57620,"Nineteen, Twenty-One",2073,complete
1269,Ludwig Kakumei,2070,complete
32689,Tonari no Inuyama-kun,2065,complete
11346,Oyasumi Punpun,2059,complete
46225,Lock On!,2058,complete
890,Goth,2054,complete
22691,Bokura ni Matsuwaru Et Cetera.,2053,complete
42136,He Dedicated to Roses,2045,complete
354,Itadakimasu,2042,complete
53197,Star-like Words,2042,complete
2583,Under Grand Hotel,2033,complete
16872,Nonchan to Watashi,2031,complete
887,Blame!,2030,complete
39735,Boku no Shiru Anata no Hanashi,2030,complete
1281,Ai no Tame ni,2028,complete
15521,Nanairo Sekai,2027,complete
13586,Animal Jungle,2026,complete
792,Kakumei no Hi,2025,complete
64750,Junketsu Drop,2023,complete
80627,Ansatsu Kyoushitsu,2021,complete
13356,Orange Yane no Chiisana Ie,2019,complete
380,Saboten no Himitsu,2018,complete
27380,Ai no Kotoba mo Shiranaide,2018,complete
2458,Arakure,2010,complete
15003,Escape (KYUUGOU),2010,complete
3295,Hotarubi no Mori e,2006,complete
32838,Ano Hi no Kimi wo Dakishimeta nara,2005,complete
62667,Nisekoi,1998,complete
13384,Adarushan no Hanayome,1996,complete
49782,16 Life,1988,complete
5740,Inumimi,1987,complete
766,Calorie,1984,complete
11111,Kingyo Sou,1980,complete
5114,Shiawase Kissa 3-choume,1978,complete
67327,"Kasa no Shita, Futari",1978,complete
28650,Iinchou no Himegoto,1976,complete
3357,Ano Kado wo Magatta Tokoro,1975,complete
13582,Dengeki Daisy,1971,complete
2457,Help!!,1968,complete
2526,Wild Rock,1966,complete
1325,Watashi no Ookami-san,1965,complete
25893,The Prince's Cactus,1965,complete
12636,Mamotte Agemasu,1963,complete
31454,Kimi no Iru Machi,1962,complete
13888,Sweet Black,1957,complete
42720,Rutta to Kodama,1955,complete
21,Penguin Brothers,1952,complete
880,H³ School!,1944,complete
680,Tsuki no Shippo,1942,complete
41388,Narabuna Kiken!!,1938,complete
112,Sennen no Yuki,1935,complete
36297,Shiro no Keiyaku,1932,complete
51024,Hana no Kishi,1930,complete
18016,Akuma de Koibito,1928,complete
6085,Birthday Presents,1926,complete
3793,Fairy Tail,1924,complete
47462,Aku no Hana,1921,complete
1205,Zoku - Kindan no Koi wo Shiyou,1914,complete
15613,Hadashi de Bara o Fume,1912,complete
38799,Hyakujuu Kingdom,1912,complete
11462,Warui Koto Shitai,1911,complete
2204,Tsuyogari,1910,complete
35169,Yomeiro Choice,1909,complete
73982,Kuroneko Kareshi no Asobikata,1905,complete
50163,Only the Flower Knows,1904,complete
11398,Konna Otoko wa Aisareru,1899,complete
48787,Hoozuki-san Chi no Aneki,1899,complete
4478,Kindan Wedding,1897,complete
2614,Akuma no Himitsu,1888,complete
11316,Sundome,1887,complete
27428,Interval,1883,complete
2107,"Asa mo, Hiru mo, Yoru mo.",1881,complete
1841,Sex Therapist,1877,complete
2157,Gunnm,1877,complete
7763,Dramatic Love Album,1873,complete
32956,Hakuji,1870,complete
1189,Renai Shijou Shugi,1860,complete
4464,Osaerarenai!,1859,complete
3753,Kanga na Spoon,1858,complete
39157,"Koi, Hirari",1858,complete
5250,Dekiai Paradox,1857,complete
6633,100% Perfect Girl,1856,complete
44647,24 Jikan Eigyouchuu,1855,complete
43950,Venus ni Arazu,1854,complete
1045,Ayashi no Ceres,1848,complete
4745,Kimi ga Koi ni Ochiru,1848,complete
6523,Grand Sun,1847,complete
52985,Sugar Dark - Umerareta Yami to Shoujo,1844,complete
6356,Flowers of Evil,1843,complete
2612,17-sai Hajimete no H,1841,complete
30612,Ann Cassandra,1836,complete
33685,Aki-Sora,1836,complete
5750,Crossroad,1834,complete
7683,Renai Shinan!,1830,complete
11827,Ai no Gebokutachi,1822,complete
40888,Medaka Box,1821,complete
7857,By Hero,1808,complete
39200,Love So Life,1808,complete
4578,Tonari no Shugoshin,1807,complete
31247,Sumanai!! Masumi-kun,1804,complete
11931,Nurarihyon no Mago,1801,complete
68249,Ookamidomo no Shitsukekata,1800,complete
2113,Akira,1793,complete
2967,Boku no Hatsukoi o Kimi ni Sasagu,1791,complete
12779,Shinigami Lovers,1791,complete
13105,Bus Hashiru,1787,complete
92,Katsu!,1785,complete
222,"Nee, Sensei?",1780,complete
14443,Hetakoi,1779,complete
19405,Ore-sama Ouji,1778,complete
23002,Yakuza Girl,1776,complete
73374,Kuroorihime to Kawaki no Ou,1774,complete
18386,Takaga Koi daro,1773,complete
32,Good Morning Call,1771,complete
56401,Game Over (MIZUTANI Fuka),1771,complete
2570,Boku wa Kimi no Tori ni Naritai,1770,complete
10515,Café Latte Rhapsody,1770,complete
436,DearS,1769,complete
688,Ares,1766,complete
4288,Zenbu Kimi no Mono,1762,complete
77319,Kono Ore ga Omae Nanka Suki na Wakenai,1762,complete
244,Boku no Futatsu no Tsubasa,1761,complete
17188,Sono Kuchibiru ni Yoru no Tsuyu,1761,complete
6168,Harem Lodge,1758,complete
1455,Akane-chan Overdrive,1755,complete
2326,Brother,1754,complete
6099,Ou-sama no Shichiya,1743,complete
16199,Gochisou-sama,1743,complete
22635,Doukyuusei (NAKAMURA Asumiko),1739,complete
28128,Onihime VS,1739,complete
35853,Torikagosou no Kyou mo Nemutai Juunintachi,1738,complete
3960,Ai yori Aoshi,1736,complete
840,Red Lion,1735,complete
5348,Meteor Methuselah,1733,complete
120994,Naruto Gaiden - Nanadaime Hokage to Akairo no Hanatsuzuki,1732,complete
3383,P x P,1728,complete
10,MÄR,1726,complete
78322,Spirit Circle,1726,complete
14282,Taiyou no Kikoushi,1722,complete
1041,Fushigi Yuugi,1721,complete
43948,Royal Fiancé,1721,complete
28604,17 Sai no Hisoka na Yokujou,1720,complete
37122,Hidarite no Love Letter,1719,complete
575,School Rumble,1718,complete
54871,Akai Michi,1718,complete
15285,Mimitabu no Riyuu,1716,complete
14840,Yuru Koi,1712,complete
18111,No Color,1712,complete
22252,My Girl (SAHARA Mizu),1712,complete
92554,Gosan no Heart,1711,complete
39785,Calling (OTSUKI Miu),1710,complete
1413,Uso to Kiss,1709,complete
31878,Kuroneko Guardian,1709,complete
42349,Mishounen Produce,1706,complete
71971,"Daisuki Datta yo, Sensei...",1706,complete
930,Eden - It's an Endless World!,1705,complete
3270,Saruyama!,1704,complete
24033,Koi wo Suru no ga Shigoto desu,1704,complete
29891,Omoide Emanon,1703,complete
49126,Itoshii Akuma,1703,complete
327,Kaikan Phrase,1701,complete
37976,Plastic Girl,1700,complete
40067,Reimei no Arcana,1699,complete
8235,Ayu Mayu,1696,complete
19190,AAA,1695,complete
70159,Jigokuren - Love in the Hell,1695,complete
78728,Recipe no Ouji-sama,1695,complete
41706,Bousou Kareshi,1694,complete
10829,Yanki-kun to Megane-chan,1693,complete
74907,Orange (TAKANO Ichigo),1693,complete
2046,Cherry Juice,1691,complete
41166,Enren Debut,1691,complete
4634,Soba ni Oitene,1689,complete
6780,Kimi to Scandal!,1689,complete
4161,Atashi wa Bambi,1688,complete
34452,Ikenai Otoko,1687,complete
463,Ultra Maniac,1681,complete
11717,Heart Strings,1681,complete
817,Girls Saurus DX,1678,complete
49450,Sankarea,1677,complete
52550,SWOT,1676,complete
3162,Canvas ni Kuchizuke o,1670,complete
785,Little Butterfly,1669,complete
41661,Koujitsusei no Tobira,1669,complete
50295,Aiso Tsukashi,1669,complete
17982,Watashitachi no Tamura-kun,1667,complete
4737,Ikujinashi no Shiawase,1663,complete
41972,Lovers Doll,1662,complete
65098,Vahlia no Hanamuko,1662,complete
100185,Kanojo ni Naru Hi,1659,complete
2445,Ningyo Ouji,1655,complete
44914,Wild and Strawberry,1655,complete
2692,Lovenista,1653,complete
521,Aisaretaino,1652,complete
4352,Dear Mine,1650,complete
10492,Bijin Dorobou,1648,complete
1198,You're So Cool,1647,complete
19674,Negative Happy Chain Saw Edge,1646,complete
9004,Toiki Yori mo Yasashii,1643,complete
35867,Akahime Ranshin,1642,complete
3543,Kare wa Amai Yuuwaku - Honey Honey Boy,1640,complete
11368,Ashita no Ou-sama,1640,complete
40450,Mankai Darling,1638,complete
69367,Kurogane (IKEZAWA Haruto),1635,complete
2735,Dakishimetakunai,1634,complete
2652,Kami-sama no Iutoori,1633,complete
3077,Threads of Time,1633,complete
12471,La Satanica,1632,complete
75399,Udagawachou de Mattete yo.,1629,complete
10416,Koibana - Kono Yuuwaku ni wa Katenai! Best 6,1628,complete
36759,Ai no Kotoba o Uragaeshi,1628,complete
42315,Merry Checker,1624,complete
68413,Atashi no Banbi,1624,complete
